JourName;TransactionDay;CountTransaction;ConsommationHier;MSemaineDernier;MSemaine7;ConsoMmJrAnP;ConsoMmJrMP;ConsoMmJrSmDer;MoyenneMoisPrec;MoyenneMMSAnPrec;MoyenneMMmAnPrec;ConsommationMaxMDer;IdGab;PoidJr;PoidName;PoidTot;SumRetrait;Id;weekDay;year;weekMonth
mercredi;2014-01-01;135;NULL;NULL;17512;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;140100;1;1;2014;1
jeudi;2014-01-02;173;140100;NULL;39012;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;172000;2;1;2014;1
vendredi;2014-01-03;174;172000;NULL;54565;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;6;24;124427;3;1;2014;1
samedi;2014-01-04;174;124427;NULL;70119;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;4;7;28;124427;4;1;2014;1
dimanche;2014-01-05;132;124427;NULL;86194;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;1;3;128600;5;1;2014;1
lundi;2014-01-06;174;128600;137910;101747;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;3;9;124427;6;2;2014;1
mardi;2014-01-07;174;124427;137910;117301;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;124427;7;2;2014;1
mercredi;2014-01-08;137;124427;137910;133626;NULL;NULL;140100;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;130600;8;2;2014;2
jeudi;2014-01-09;112;130600;137910;128238;NULL;NULL;172000;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;97000;9;2;2014;2
vendredi;2014-01-10;139;97000;137910;120263;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;6;18;108200;10;2;2014;2
samedi;2014-01-11;167;108200;137910;120860;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;7;21;129200;11;2;2014;2
dimanche;2014-01-12;150;129200;137910;118969;NULL;NULL;128600;NULL;NULL;NULL;NULL;GAB-WN-01;3;1;3;109300;12;2;2014;2
lundi;2014-01-13;174;109300;117593;118447;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;3;9;124427;13;3;2014;2
mardi;2014-01-14;174;124427;117593;118447;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;124427;14;3;2014;2
mercredi;2014-01-15;125;124427;117593;114419;NULL;NULL;130600;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;92200;15;3;2014;3
jeudi;2014-01-16;164;92200;117593;114994;NULL;NULL;97000;NULL;NULL;NULL;NULL;GAB-WN-01;3;2;6;135200;16;3;2014;3
vendredi;2014-01-17;125;135200;117593;116781;NULL;NULL;108200;NULL;NULL;NULL;NULL;GAB-WN-01;3;6;18;111300;17;3;2014;3
samedi;2014-01-18;124;111300;117593;115606;NULL;NULL;129200;NULL;NULL;NULL;NULL;GAB-WN-01;3;7;21;98800;18;3;2014;3
dimanche;2014-01-19;128;98800;117593;111681;NULL;NULL;109300;NULL;NULL;NULL;NULL;GAB-WN-01;2;1;2;97800;19;3;2014;3
lundi;2014-01-20;156;97800;112022;115769;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;2;3;6;142000;20;4;2014;3
mardi;2014-01-21;174;142000;112022;115769;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;124427;21;4;2014;3
mercredi;2014-01-22;174;124427;112022;115769;NULL;NULL;92200;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;124427;22;4;2014;4
jeudi;2014-01-23;154;124427;112022;122369;NULL;NULL;135200;NULL;NULL;NULL;NULL;GAB-WN-01;2;2;4;145000;23;4;2014;4
vendredi;2014-01-24;172;145000;112022;124856;NULL;NULL;111300;NULL;NULL;NULL;NULL;GAB-WN-01;2;6;12;155100;24;4;2014;4
samedi;2014-01-25;156;155100;112022;129269;NULL;NULL;98800;NULL;NULL;NULL;NULL;GAB-WN-01;2;7;14;146600;25;4;2014;4
dimanche;2014-01-26;122;146600;112022;127019;NULL;NULL;97800;NULL;NULL;NULL;NULL;GAB-WN-01;4;1;4;80800;26;4;2014;4
lundi;2014-01-27;127;80800;131193;131944;NULL;NULL;142000;NULL;NULL;NULL;NULL;GAB-WN-01;4;3;12;137200;27;5;2014;4
mardi;2014-01-28;144;137200;131193;132406;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;145700;28;5;2014;4
mercredi;2014-01-29;150;145700;131193;135065;NULL;NULL;124427;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;145700;29;5;2014;5
jeudi;2014-01-30;172;145700;131193;139375;NULL;NULL;145000;NULL;NULL;NULL;NULL;GAB-WN-01;4;2;8;158900;30;5;2014;5
vendredi;2014-01-31;174;158900;131193;136803;NULL;NULL;155100;NULL;NULL;NULL;NULL;GAB-WN-01;4;6;24;124427;31;5;2014;5
samedi;2014-02-01;174;124427;131193;132969;NULL;124427;146600;126682;NULL;NULL;172000;GAB-WN-01;4;7;28;124427;32;5;2014;1
dimanche;2014-02-02;169;124427;131193;131394;NULL;128600;80800;126682;NULL;NULL;172000;GAB-WN-01;4;1;4;134000;33;5;2014;1
lundi;2014-02-03;174;134000;138622;136847;NULL;124427;137200;126682;NULL;NULL;172000;GAB-WN-01;4;3;12;124427;34;6;2014;1
mardi;2014-02-04;154;124427;138622;135247;NULL;124427;145700;126682;NULL;NULL;172000;GAB-WN-01;4;2;8;124400;35;6;2014;1
mercredi;2014-02-05;174;124400;138622;132588;NULL;140100;145700;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;124427;36;6;2014;1
jeudi;2014-02-06;165;124427;138622;133776;NULL;172000;158900;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;155200;37;6;2014;1
vendredi;2014-02-07;160;155200;138622;130338;NULL;124427;124427;126682;NULL;NULL;172000;GAB-WN-01;3;6;18;131400;38;6;2014;1
samedi;2014-02-08;165;131400;138622;133385;NULL;129200;124427;126682;NULL;NULL;172000;GAB-WN-01;3;7;21;148800;39;6;2014;2
dimanche;2014-02-09;174;148800;138622;133385;NULL;109300;134000;126682;NULL;NULL;172000;GAB-WN-01;3;1;3;124427;40;6;2014;2
lundi;2014-02-10;140;124427;133297;130185;NULL;124427;124427;126682;NULL;NULL;172000;GAB-WN-01;3;3;9;108400;41;7;2014;2
mardi;2014-02-11;124;108400;133297;126731;NULL;124427;124400;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;96800;42;7;2014;2
mercredi;2014-02-12;103;96800;133297;122981;NULL;130600;124427;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;94400;43;7;2014;2
jeudi;2014-02-13;174;94400;133297;122981;NULL;97000;155200;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;124427;44;7;2014;2
vendredi;2014-02-14;122;124427;133297;117181;NULL;108200;131400;126682;NULL;NULL;172000;GAB-WN-01;3;6;18;108800;45;7;2014;2
samedi;2014-02-15;134;108800;133297;113769;NULL;98800;148800;126682;NULL;NULL;172000;GAB-WN-01;3;7;21;104100;46;7;2014;3
dimanche;2014-02-16;174;104100;133297;110722;NULL;97800;124427;126682;NULL;NULL;172000;GAB-WN-01;3;1;3;124427;47;7;2014;3
lundi;2014-02-17;115;124427;108764;108381;NULL;142000;108400;126682;NULL;NULL;172000;GAB-WN-01;3;3;9;105700;48;8;2014;3
mardi;2014-02-18;110;105700;108764;109956;NULL;124427;96800;126682;NULL;NULL;172000;GAB-WN-01;3;2;6;121000;49;8;2014;3
mercredi;2014-02-19;121;121000;108764;113206;NULL;92200;94400;126682;NULL;NULL;172000;GAB-WN-01;2;2;4;122800;50;8;2014;3
jeudi;2014-02-20;174;122800;108764;116960;NULL;135200;124427;126682;NULL;NULL;172000;GAB-WN-01;2;2;4;124427;51;8;2014;3
vendredi;2014-02-21;108;124427;108764;114419;NULL;111300;108800;126682;NULL;NULL;172000;GAB-WN-01;2;6;12;104100;52;8;2014;3
samedi;2014-02-22;124;104100;108764;116444;NULL;146600;104100;126682;NULL;NULL;172000;GAB-WN-01;2;7;14;125000;53;8;2014;4
dimanche;2014-02-23;174;125000;108764;118985;NULL;80800;124427;126682;NULL;NULL;172000;GAB-WN-01;2;1;2;124427;54;8;2014;4
lundi;2014-02-24;105;124427;118207;115844;NULL;137200;105700;126682;NULL;NULL;172000;GAB-WN-01;2;3;6;99300;55;9;2014;4
mardi;2014-02-25;119;99300;118207;115381;NULL;145700;121000;126682;NULL;NULL;172000;GAB-WN-01;2;2;4;102000;56;9;2014;4
mercredi;2014-02-26;122;102000;118207;115981;NULL;124427;122800;126682;NULL;NULL;172000;GAB-WN-01;4;2;8;125800;57;9;2014;4
jeudi;2014-02-27;135;125800;118207;116931;NULL;145000;124427;126682;NULL;NULL;172000;GAB-WN-01;4;2;8;130400;58;9;2014;4
vendredi;2014-02-28;171;130400;118207;124178;NULL;155100;104100;126682;NULL;NULL;172000;GAB-WN-01;4;6;24;182400;59;9;2014;4
samedi;2014-03-01;157;182400;118207;132253;NULL;124427;125000;122150;NULL;NULL;182400;GAB-WN-01;4;7;28;168700;60;9;2014;1
dimanche;2014-03-02;134;168700;118207;130478;NULL;134000;124427;122150;NULL;NULL;182400;GAB-WN-01;4;1;4;110800;61;9;2014;1
lundi;2014-03-03;174;110800;131342;130478;NULL;124427;99300;122150;NULL;NULL;182400;GAB-WN-01;4;3;12;124427;62;10;2014;1
mardi;2014-03-04;174;124427;131342;133619;NULL;124400;102000;122150;NULL;NULL;182400;GAB-WN-01;4;2;8;124427;63;10;2014;1
mercredi;2014-03-05;174;124427;131342;136422;NULL;124427;125800;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;124427;64;10;2014;1
jeudi;2014-03-06;164;124427;131342;137135;NULL;155200;130400;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;131500;65;10;2014;1
vendredi;2014-03-07;167;131500;131342;138297;NULL;131400;182400;122150;NULL;NULL;182400;GAB-WN-01;3;6;18;139700;66;10;2014;1
samedi;2014-03-08;114;139700;131342;128410;NULL;148800;168700;122150;NULL;NULL;182400;GAB-WN-01;3;7;21;103300;67;10;2014;2
dimanche;2014-03-09;125;103300;131342;118497;NULL;124427;110800;122150;NULL;NULL;182400;GAB-WN-01;3;1;3;89400;68;10;2014;2
lundi;2014-03-10;153;89400;119597;120272;NULL;108400;124427;122150;NULL;NULL;182400;GAB-WN-01;3;3;9;125000;69;11;2014;2
mardi;2014-03-11;128;125000;119597;120619;NULL;96800;124427;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;127200;70;11;2014;2
mercredi;2014-03-12;116;127200;119597;115590;NULL;94400;124427;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;84200;71;11;2014;2
jeudi;2014-03-13;128;84200;119597;113100;NULL;124427;131500;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;104500;72;11;2014;2
vendredi;2014-03-14;134;104500;119597;110100;NULL;108800;139700;122150;NULL;NULL;182400;GAB-WN-01;3;6;18;107500;73;11;2014;2
samedi;2014-03-15;146;107500;119597;107687;NULL;104100;103300;122150;NULL;NULL;182400;GAB-WN-01;3;7;21;120400;74;11;2014;3
dimanche;2014-03-16;174;120400;119597;110328;NULL;124427;89400;122150;NULL;NULL;182400;GAB-WN-01;3;1;3;124427;75;11;2014;3
lundi;2014-03-17;174;124427;113318;114706;NULL;105700;125000;122150;NULL;NULL;182400;GAB-WN-01;3;3;9;124427;76;12;2014;3
mardi;2014-03-18;122;124427;113318;111894;NULL;121000;127200;122150;NULL;NULL;182400;GAB-WN-01;3;2;6;102500;77;12;2014;3
mercredi;2014-03-19;174;102500;113318;111547;NULL;122800;84200;122150;NULL;NULL;182400;GAB-WN-01;2;2;4;124427;78;12;2014;3
jeudi;2014-03-20;100;124427;113318;109985;NULL;124427;104500;122150;NULL;NULL;182400;GAB-WN-01;2;2;4;71700;79;12;2014;3
vendredi;2014-03-21;137;71700;113318;110972;NULL;104100;107500;122150;NULL;NULL;182400;GAB-WN-01;2;6;12;112400;80;12;2014;3
samedi;2014-03-22;174;112400;113318;113088;NULL;125000;120400;122150;NULL;NULL;182400;GAB-WN-01;2;7;14;124427;81;12;2014;4
dimanche;2014-03-23;121;124427;113318;109738;NULL;124427;124427;122150;NULL;NULL;182400;GAB-WN-01;2;1;2;93600;82;12;2014;4
lundi;2014-03-24;174;93600;107640;109738;NULL;99300;124427;122150;NULL;NULL;182400;GAB-WN-01;2;3;6;124427;83;13;2014;4
mardi;2014-03-25;174;124427;107640;109738;NULL;102000;102500;122150;NULL;NULL;182400;GAB-WN-01;2;2;4;124427;84;13;2014;4
mercredi;2014-03-26;174;124427;107640;112479;NULL;125800;124427;122150;NULL;NULL;182400;GAB-WN-01;4;2;8;124427;85;13;2014;4
jeudi;2014-03-27;164;124427;107640;113288;NULL;130400;71700;122150;NULL;NULL;182400;GAB-WN-01;4;2;8;130900;86;13;2014;4
vendredi;2014-03-28;164;130900;107640;122488;NULL;182400;112400;122150;NULL;NULL;182400;GAB-WN-01;4;6;24;145300;87;13;2014;4
samedi;2014-03-29;174;145300;107640;123991;NULL;NULL;124427;122150;NULL;NULL;182400;GAB-WN-01;4;7;28;124427;88;13;2014;5
dimanche;2014-03-30;154;124427;107640;124513;NULL;NULL;93600;122150;NULL;NULL;182400;GAB-WN-01;4;1;4;128600;89;13;2014;5
lundi;2014-03-31;174;128600;128929;128366;NULL;NULL;124427;122150;NULL;NULL;182400;GAB-WN-01;4;3;12;124427;90;14;2014;5
mardi;2014-04-01;174;124427;128929;128366;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;4;2;8;124427;91;14;2014;1
mercredi;2014-04-02;174;124427;128929;128366;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;4;2;8;124427;92;14;2014;1
jeudi;2014-04-03;174;124427;128929;128366;NULL;131500;130900;119042;NULL;NULL;168700;GAB-WN-01;4;2;8;124427;93;14;2014;1
vendredi;2014-04-04;174;124427;128929;127557;NULL;139700;145300;119042;NULL;NULL;168700;GAB-WN-01;4;6;24;124427;94;14;2014;1
samedi;2014-04-05;174;124427;128929;124948;NULL;168700;124427;119042;NULL;NULL;168700;GAB-WN-01;3;7;21;124427;95;14;2014;1
dimanche;2014-04-06;116;124427;128929;118857;NULL;110800;128600;119042;NULL;NULL;168700;GAB-WN-01;3;1;3;75700;96;14;2014;1
lundi;2014-04-07;174;75700;117466;118336;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;3;3;9;124427;97;15;2014;1
mardi;2014-04-08;144;124427;117466;116320;NULL;127200;124427;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;108300;98;15;2014;2
mercredi;2014-04-09;174;108300;117466;116320;NULL;84200;124427;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;124427;99;15;2014;2
jeudi;2014-04-10;135;124427;117466;115741;NULL;104500;124427;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;119800;100;15;2014;2
vendredi;2014-04-11;159;119800;117466;116613;NULL;107500;124427;119042;NULL;NULL;168700;GAB-WN-01;3;6;18;131400;101;15;2014;2
samedi;2014-04-12;128;131400;117466;119097;NULL;103300;124427;119042;NULL;NULL;168700;GAB-WN-01;3;7;21;144300;102;15;2014;2
dimanche;2014-04-13;174;144300;117466;119097;NULL;89400;75700;119042;NULL;NULL;168700;GAB-WN-01;3;1;3;124427;103;15;2014;2
lundi;2014-04-14;107;124427;125297;118760;NULL;125000;124427;119042;NULL;NULL;168700;GAB-WN-01;3;3;9;73000;104;16;2014;2
mardi;2014-04-15;128;73000;125297;115644;NULL;102500;108300;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;99500;105;16;2014;3
mercredi;2014-04-16;124;99500;125297;114569;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;99700;106;16;2014;3
jeudi;2014-04-17;114;99700;125297;109803;NULL;71700;119800;119042;NULL;NULL;168700;GAB-WN-01;3;2;6;86300;107;16;2014;3
vendredi;2014-04-18;174;86300;125297;110381;NULL;112400;131400;119042;NULL;NULL;168700;GAB-WN-01;3;6;18;124427;108;16;2014;3
samedi;2014-04-19;174;124427;125297;109510;NULL;120400;144300;119042;NULL;NULL;168700;GAB-WN-01;2;7;14;124427;109;16;2014;3
dimanche;2014-04-20;174;124427;125297;107026;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;2;1;2;124427;110;16;2014;3
lundi;2014-04-21;174;124427;104540;107026;NULL;124427;73000;119042;NULL;NULL;168700;GAB-WN-01;2;3;6;124427;111;17;2014;3
mardi;2014-04-22;134;124427;104540;114263;NULL;124427;99500;119042;NULL;NULL;168700;GAB-WN-01;2;2;4;130900;112;17;2014;4
mercredi;2014-04-23;111;130900;104540;112513;NULL;124427;99700;119042;NULL;NULL;168700;GAB-WN-01;2;2;4;85500;113;17;2014;4
jeudi;2014-04-24;103;85500;104540;112163;NULL;130900;86300;119042;NULL;NULL;168700;GAB-WN-01;2;2;4;96900;114;17;2014;4
vendredi;2014-04-25;174;96900;104540;116929;NULL;145300;124427;119042;NULL;NULL;168700;GAB-WN-01;2;6;12;124427;115;17;2014;4
samedi;2014-04-26;106;124427;104540;113851;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;4;7;28;99800;116;17;2014;4
dimanche;2014-04-27;174;99800;104540;113851;NULL;93600;124427;119042;NULL;NULL;168700;GAB-WN-01;4;1;4;124427;117;17;2014;4
lundi;2014-04-28;174;124427;112340;113851;NULL;124427;124427;119042;NULL;NULL;168700;GAB-WN-01;4;3;12;124427;118;18;2014;4
mardi;2014-04-29;100;124427;112340;111522;NULL;NULL;130900;119042;NULL;NULL;168700;GAB-WN-01;4;2;8;105800;119;18;2014;5
mercredi;2014-04-30;149;105800;112340;113560;NULL;NULL;85500;119042;NULL;NULL;168700;GAB-WN-01;4;2;8;147200;120;18;2014;5
jeudi;2014-05-01;166;147200;112340;121260;NULL;124427;96900;115683;NULL;NULL;147200;GAB-WN-01;4;2;8;147100;121;18;2014;1
vendredi;2014-05-02;174;147100;112340;124701;NULL;124427;124427;115683;NULL;NULL;147200;GAB-WN-01;4;6;24;124427;122;18;2014;1
samedi;2014-05-03;174;124427;112340;124701;NULL;124427;99800;115683;NULL;NULL;147200;GAB-WN-01;4;7;28;124427;123;18;2014;1
dimanche;2014-05-04;124;124427;112340;122451;NULL;75700;124427;115683;NULL;NULL;147200;GAB-WN-01;4;1;4;81800;124;18;2014;1
lundi;2014-05-05;167;81800;122168;127347;NULL;124427;124427;115683;NULL;NULL;147200;GAB-WN-01;3;3;9;163600;125;19;2014;1
mardi;2014-05-06;159;163600;122168;128619;NULL;124427;105800;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;134600;126;19;2014;1
mercredi;2014-05-07;166;134600;122168;134794;NULL;124427;147200;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;155200;127;19;2014;1
jeudi;2014-05-08;119;155200;122168;130006;NULL;119800;147100;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;108900;128;19;2014;2
vendredi;2014-05-09;149;108900;122168;126169;NULL;131400;124427;115683;NULL;NULL;147200;GAB-WN-01;3;6;18;116400;129;19;2014;2
samedi;2014-05-10;140;116400;122168;126615;NULL;144300;124427;115683;NULL;NULL;147200;GAB-WN-01;3;7;21;128000;130;19;2014;2
dimanche;2014-05-11;174;128000;122168;126615;NULL;124427;81800;115683;NULL;NULL;147200;GAB-WN-01;3;1;3;124427;131;19;2014;2
lundi;2014-05-12;104;124427;133018;128690;NULL;73000;163600;115683;NULL;NULL;147200;GAB-WN-01;3;3;9;98400;132;20;2014;2
mardi;2014-05-13;122;98400;133018;121428;NULL;108300;134600;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;105500;133;20;2014;2
mercredi;2014-05-14;174;105500;133018;120156;NULL;124427;155200;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;124427;134;20;2014;2
jeudi;2014-05-15;101;124427;133018;112181;NULL;86300;108900;115683;NULL;NULL;147200;GAB-WN-01;3;2;6;91400;135;20;2014;3
vendredi;2014-05-16;135;91400;133018;114281;NULL;124427;116400;115683;NULL;NULL;147200;GAB-WN-01;3;6;18;125700;136;20;2014;3
samedi;2014-05-17;174;125700;133018;115285;NULL;124427;128000;115683;NULL;NULL;147200;GAB-WN-01;3;7;21;124427;137;20;2014;3
dimanche;2014-05-18;164;124427;133018;114372;NULL;124427;124427;115683;NULL;NULL;147200;GAB-WN-01;3;1;3;120700;138;20;2014;3
lundi;2014-05-19;171;120700;112936;116881;NULL;124427;98400;115683;NULL;NULL;147200;GAB-WN-01;2;3;6;144500;139;21;2014;3
mardi;2014-05-20;153;144500;112936;118844;NULL;99500;105500;115683;NULL;NULL;147200;GAB-WN-01;2;2;4;114100;140;21;2014;3
mercredi;2014-05-21;121;114100;112936;118056;NULL;99700;124427;115683;NULL;NULL;147200;GAB-WN-01;2;2;4;99200;141;21;2014;3
jeudi;2014-05-22;130;99200;112936;114428;NULL;96900;91400;115683;NULL;NULL;147200;GAB-WN-01;2;2;4;95400;142;21;2014;4
vendredi;2014-05-23;174;95400;112936;118556;NULL;124427;125700;115683;NULL;NULL;147200;GAB-WN-01;2;6;12;124427;143;21;2014;4
samedi;2014-05-24;127;124427;112936;117769;NULL;99800;124427;115683;NULL;NULL;147200;GAB-WN-01;2;7;14;119400;144;21;2014;4
dimanche;2014-05-25;136;119400;112936;114390;NULL;124427;120700;115683;NULL;NULL;147200;GAB-WN-01;2;1;2;97400;145;21;2014;4
lundi;2014-05-26;117;97400;113489;112453;NULL;124427;144500;115683;NULL;NULL;147200;GAB-WN-01;4;3;12;105200;146;22;2014;4
mardi;2014-05-27;162;105200;113489;113965;NULL;130900;114100;115683;NULL;NULL;147200;GAB-WN-01;4;2;8;156600;147;22;2014;4
mercredi;2014-05-28;130;156600;113489;115978;NULL;85500;99200;115683;NULL;NULL;147200;GAB-WN-01;4;2;8;130200;148;22;2014;4
jeudi;2014-05-29;144;130200;113489;123515;NULL;NULL;95400;115683;NULL;NULL;147200;GAB-WN-01;4;2;8;159500;149;22;2014;5
vendredi;2014-05-30;153;159500;113489;128078;NULL;NULL;124427;115683;NULL;NULL;147200;GAB-WN-01;4;6;24;131900;150;22;2014;5
samedi;2014-05-31;174;131900;113489;128078;NULL;NULL;119400;115683;NULL;NULL;147200;GAB-WN-01;4;7;28;124427;151;22;2014;5
dimanche;2014-06-01;174;124427;113489;128706;NULL;81800;97400;122635;NULL;NULL;163600;GAB-WN-01;4;1;4;124427;152;22;2014;1
lundi;2014-06-02;170;124427;133179;135856;NULL;163600;105200;122635;NULL;NULL;163600;GAB-WN-01;4;3;12;154600;153;23;2014;1
mardi;2014-06-03;166;154600;133179;142794;NULL;134600;156600;122635;NULL;NULL;163600;GAB-WN-01;4;2;8;160700;154;23;2014;1
mercredi;2014-06-04;148;160700;133179;140419;NULL;155200;130200;122635;NULL;NULL;163600;GAB-WN-01;4;2;8;137600;155;23;2014;1
jeudi;2014-06-05;164;137600;133179;140106;NULL;147100;159500;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;127700;156;23;2014;1
vendredi;2014-06-06;160;127700;133179;136044;NULL;124427;131900;122635;NULL;NULL;163600;GAB-WN-01;3;6;18;127000;157;23;2014;1
samedi;2014-06-07;174;127000;133179;135110;NULL;124427;124427;122635;NULL;NULL;163600;GAB-WN-01;3;7;21;124427;158;23;2014;1
dimanche;2014-06-08;100;124427;133179;129631;NULL;124427;124427;122635;NULL;NULL;163600;GAB-WN-01;3;1;3;80600;159;23;2014;2
lundi;2014-06-09;119;80600;130375;124678;NULL;98400;154600;122635;NULL;NULL;163600;GAB-WN-01;3;3;9;84800;160;24;2014;2
mardi;2014-06-10;124;84800;130375;116828;NULL;105500;160700;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;91800;161;24;2014;2
mercredi;2014-06-11;139;91800;130375;111803;NULL;124427;137600;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;120500;162;24;2014;2
jeudi;2014-06-12;114;120500;130375;107778;NULL;108900;127700;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;105400;163;24;2014;2
vendredi;2014-06-13;127;105400;130375;106703;NULL;116400;127000;122635;NULL;NULL;163600;GAB-WN-01;3;6;18;119100;164;24;2014;2
samedi;2014-06-14;150;119100;130375;104928;NULL;128000;124427;122635;NULL;NULL;163600;GAB-WN-01;3;7;21;112800;165;24;2014;2
dimanche;2014-06-15;110;112800;130375;98675;NULL;120700;80600;122635;NULL;NULL;163600;GAB-WN-01;3;1;3;74400;166;24;2014;3
lundi;2014-06-16;144;74400;101257;103162;NULL;144500;84800;122635;NULL;NULL;163600;GAB-WN-01;3;3;9;116500;167;25;2014;3
mardi;2014-06-17;116;116500;101257;106025;NULL;114100;91800;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;107700;168;25;2014;3
mercredi;2014-06-18;119;107700;101257;107637;NULL;99200;120500;122635;NULL;NULL;163600;GAB-WN-01;3;2;6;104700;169;25;2014;3
jeudi;2014-06-19;174;104700;101257;108128;NULL;91400;105400;122635;NULL;NULL;163600;GAB-WN-01;2;2;4;124427;170;25;2014;3
vendredi;2014-06-20;123;124427;101257;107153;NULL;125700;119100;122635;NULL;NULL;163600;GAB-WN-01;2;6;12;97600;171;25;2014;3
samedi;2014-06-21;174;97600;101257;107819;NULL;124427;112800;122635;NULL;NULL;163600;GAB-WN-01;2;7;14;124427;172;25;2014;3
dimanche;2014-06-22;128;124427;101257;104969;NULL;97400;74400;122635;NULL;NULL;163600;GAB-WN-01;2;1;2;90000;173;25;2014;4
lundi;2014-06-23;141;90000;109336;111544;NULL;105200;116500;122635;NULL;NULL;163600;GAB-WN-01;2;3;6;127000;174;26;2014;4
mardi;2014-06-24;106;127000;109336;109531;NULL;156600;107700;122635;NULL;NULL;163600;GAB-WN-01;2;2;4;100400;175;26;2014;4
mercredi;2014-06-25;112;100400;109336;110456;NULL;130200;104700;122635;NULL;NULL;163600;GAB-WN-01;2;2;4;115100;176;26;2014;4
jeudi;2014-06-26;114;115100;109336;110056;NULL;95400;124427;122635;NULL;NULL;163600;GAB-WN-01;4;2;8;101500;177;26;2014;4
vendredi;2014-06-27;160;101500;109336;114453;NULL;124427;97600;122635;NULL;NULL;163600;GAB-WN-01;4;6;24;159600;178;26;2014;4
samedi;2014-06-28;174;159600;109336;117806;NULL;119400;124427;122635;NULL;NULL;163600;GAB-WN-01;4;7;28;124427;179;26;2014;4
dimanche;2014-06-29;132;124427;109336;118340;NULL;NULL;90000;122635;NULL;NULL;163600;GAB-WN-01;4;1;4;128700;180;26;2014;5
lundi;2014-06-30;174;128700;122389;122644;NULL;NULL;127000;122635;NULL;NULL;163600;GAB-WN-01;4;3;12;124427;181;27;2014;5
mardi;2014-07-01;158;124427;122389;127981;NULL;160700;100400;116412;NULL;NULL;160700;GAB-WN-01;4;2;8;169700;182;27;2014;1
mercredi;2014-07-02;174;169700;122389;130985;NULL;137600;115100;116412;NULL;NULL;160700;GAB-WN-01;4;2;8;124427;183;27;2014;1
jeudi;2014-07-03;151;124427;122389;135322;NULL;127700;101500;116412;NULL;NULL;160700;GAB-WN-01;4;2;8;149800;184;27;2014;1
vendredi;2014-07-04;126;149800;122389;137672;NULL;127000;159600;116412;NULL;NULL;160700;GAB-WN-01;4;6;24;120300;185;27;2014;1
samedi;2014-07-05;121;120300;122389;129960;NULL;124427;124427;116412;NULL;NULL;160700;GAB-WN-01;3;7;21;97900;186;27;2014;1
