,Real demand,predicted Demand
0,124427.0,121818.24041475572
1,124427.0,123388.29434116565
2,124427.0,124839.92539546979
3,124427.0,120630.25641072118
4,124427.0,123554.67139070973
5,124427.0,122243.85400532784
6,88299.99999999999,121647.7148902168
7,124427.0,118998.1060276469
8,100800.0,119512.07853729112
9,140400.0,123869.1049207895
10,113000.0,129823.75325089377
11,138600.0,127986.3654647216
12,141200.0,130627.07673754865
13,117800.0,134184.72821659813
14,111600.0,128677.55778117744
15,124427.0,124525.76185774783
16,114500.0,113795.40720769139
17,96200.0,110546.31830680638
18,124427.0,109645.45959161651
19,93400.00000000001,110255.02824010646
20,124427.0,106742.75855880191
21,101200.0,116173.88458117217
22,95500.0,114793.67169300576
23,127800.0,115051.1117837756
24,124427.0,122490.2452857096
25,95400.0,119480.8921242349
26,124427.0,116242.71910916046
27,124427.0,118071.06776393691
28,88399.99999999999,116098.28895876087
29,109500.0,112831.44052330115
30,124427.0,114798.57669060331
31,124427.0,121613.66186382656
32,124427.0,118576.8695265698
33,124427.0,120239.94111578127
34,124427.0,123453.00401516276
35,101800.0,119257.87307940821
36,102699.99999999999,132182.39818511799
37,121400.0,128709.83745375686
38,144000.0,124943.0845670282
39,124427.0,127579.63367344339
40,100000.0,127396.9602855657
41,86600.0,122137.2880413809
42,113300.0,121729.77238337716
43,122900.0,120857.46944342475
44,124427.0,120078.54013718385
45,124427.0,123566.03395932178
46,124427.0,119403.99174169672
47,124427.0,119664.45645426543
48,124427.0,120220.49934737403
49,124427.0,126197.68155267587
50,110000.0,125139.20237566732
51,124427.0,123244.20684258736
52,93900.0,122000.63756551445
53,124427.0,114485.57447391673
54,115700.0,117664.89961656563
55,131200.0,121445.04664314297
56,124427.0,124322.04805417056
57,124427.0,122408.57340080796
58,124427.0,122247.13985353935
59,124427.0,124280.1565355471
60,124427.0,124073.11218377462
61,124427.0,123600.3873677463
62,83200.0,126374.92058629973
63,105800.0,126309.67879746867
64,110900.0,122500.62017050742
65,116400.0,117545.50742078516
66,124427.0,117675.22524740323
67,124427.0,118780.00461908909
68,106500.0,121728.34657830166
69,124427.0,117089.41936768284
70,108900.0,116346.37088496631
71,124427.0,117730.41239865334
72,124427.0,119636.66047026898
73,124427.0,121417.327216086
74,124427.0,121129.83106799086
75,104600.0,118823.61603492589
76,124427.0,118321.18263566386
77,135900.0,120882.49656117434
78,124427.0,122363.14221049818
79,124427.0,118908.95411593404
80,105800.0,114818.08377085644
81,92700.0,121215.02538632057
82,149900.0,122588.49646654163
83,124427.0,123067.52729801991
84,140500.0,121808.05019849399
85,132400.0,127056.08771080557
86,125700.0,131046.48231234505
87,124427.0,122940.44645366602
88,135800.0,123786.61886158896
89,130200.0,133899.11065795735
90,102900.00000000001,125663.77268117343
91,125400.0,121570.5150175117
92,108700.0,123643.5354346147
93,106900.0,119853.09148730894
94,124427.0,117104.01864496747
95,93300.00000000001,117822.66195292644
96,99000.0,109952.1418201262
97,104600.0,109322.88443894396
98,124427.0,112489.50492401591
99,87500.0,115273.06148948794
100,124200.0,112763.54977479418
101,124427.0,113766.23976407242
102,124427.0,113637.22253995281
103,124427.0,114080.15017274064
104,95800.0,116221.83326576842
105,124427.0,114068.25662673349
106,124427.0,114853.63222100172
107,98900.0,122031.90601286857
108,124427.0,116046.4006750099
109,124427.0,120503.25174504166
110,120000.0,114714.70227270486
111,164400.0,120295.7517672898
112,205099.99999999997,134615.35877753954
113,154300.0,141275.88516090528
114,118400.0,139021.89131760894
115,124427.0,129666.05939263669
116,131200.0,132328.3451488789
117,98600.0,135279.0977668179
118,107800.00000000001,129234.26141832201
119,125500.0,129614.6179531576
120,124427.0,126860.037924751
121,124427.0,123009.56379972982
122,95400.0,116601.68793425932
123,95500.0,117463.8864147909
124,124427.0,114285.24777393814
125,124427.0,118573.87141746651
126,124427.0,121327.70227750798
127,92300.0,119357.76269353594
128,107100.0,117850.31584034249
129,124427.0,115794.92144970495
130,92400.0,116442.81514903418
131,126699.99999999999,114522.35065373898
132,124427.0,117011.25415196556
133,124427.0,119045.1591180589
134,124427.0,119436.09736829306
135,93199.99999999999,118520.93344536447
136,124427.0,117418.94541984632
137,110000.0,118311.38567903789
138,102400.0,119534.78335146274
139,96700.0,120452.9424455455
140,116899.99999999999,116003.08600532432
141,172400.0,121195.05568361597
142,121000.0,122023.66878959197
143,173300.0,123801.36077598197
144,124427.0,135832.8874710694
145,128600.0,135677.85872720025
146,95400.0,128716.16154865119
147,124427.0,117748.66254995321
148,117500.00000000001,126043.7360844831
149,118200.0,121818.0593804927
150,110100.0,119178.14410912979
151,124427.0,114188.90728122611
152,124427.0,118828.26543229165
153,111700.0,119142.8978722729
154,124427.0,116080.27960583683
155,124427.0,115323.89125378772
156,124427.0,118985.35056994279
